# provenance: derived from softmax/project-proof/data/*_stability_r{1,2,3}.csv (RTX 4090, scripts/stability_rebench.sh)
key,latency_ms_mean,latency_ms_std,rel_std_pct
cudnn|1024|1024,0.00829067,2.35e-05,0.28
cudnn_mis|1024|1500,0.00894733,9.47e-05,1.06
handwritten_ref|1024|1024,0.009651,0.000351,3.63
handwritten_ref_mis|1024|1500,0.012724,9.18e-05,0.72
v0|1024|1024,0.00933567,4.93e-06,0.05
v1|1024|1024,0.009358,7.81e-05,0.83
v2|1024|1024,0.00932567,8.09e-05,0.87
v3|1024|1024,0.00882867,4.31e-05,0.49
v4|1024|1024,0.007768,0.000103,1.33
v4.2|1024|1024,0.0100967,5.42e-05,0.54
v4.3_mis|1024|1500,0.0100107,0.000101,1.00
v4.4_mis|1024|1500,0.0106643,0.000342,3.21
v4_mis|1024|1500,0.009832,4.51e-05,0.46
