# provenance: env=4090-container sha=ccccc89 cmd="./build/gemv_bench (stability r1)" date=2026-08-24T18:03:18Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04
version,rows,cols,latency_ms,speedup_vs_baseline,max_diff,correctness_pass
baseline,4096,2048,0.113242,1.00,1.9073e-05,true
v0,4096,2048,0.014505,7.81,7.8201e-05,true
v1,4096,2048,0.015256,7.42,7.8201e-05,true
v2,4096,2048,0.014835,7.63,8.0109e-05,true
v3,4096,2048,0.012663,8.94,7.8201e-05,true
v4,4096,2048,0.016607,6.82,7.8201e-05,true
cublas,4096,2048,0.017487,6.48,7.8201e-05,true
