# provenance: env=4090-container sha=33c6fff cmd="./build/int8_quantize_bench (stability r2)" date=2026-08-25T21:39:17Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04
version,channels,hw,latency_ms,speedup_vs_baseline,max_abs_err,correctness_pass
baseline,1024,1024,104.471184,1.00,1.1811e-02,true
v0,1024,1024,0.007577,13788.01,1.1811e-02,true
v1,1024,1024,0.006737,15506.44,1.1811e-02,true
v2,1024,1024,0.007143,14624.94,1.1811e-02,true
v3,1024,1024,0.005961,17525.92,1.1811e-02,true
v4,1024,1024,0.005475,19083.03,1.1811e-02,true
