# provenance: env=4090-container sha=ccccc89 cmd="./build/int8_quantize_bench (stability r3)" date=2026-08-24T18:03:53Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04
version,channels,hw,latency_ms,speedup_vs_baseline,max_abs_err,correctness_pass
baseline,1024,1024,104.471565,1.00,1.1811e-02,true
v0,1024,1024,0.009522,10972.06,1.1811e-02,true
v1,1024,1024,0.006756,15462.43,1.1811e-02,true
v2,1024,1024,0.007064,14789.30,1.1811e-02,true
v3,1024,1024,0.005906,17688.35,1.1811e-02,true
v4,1024,1024,0.005542,18849.53,1.1811e-02,true
