# provenance: env=4090-container sha=33c6fff cmd="./build/int8_quantize_bench (stability r3)" date=2026-08-25T21:39:28Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04
version,channels,hw,latency_ms,speedup_vs_baseline,max_abs_err,correctness_pass
baseline,1024,1024,104.494690,1.00,1.1811e-02,true
v0,1024,1024,0.007615,13722.73,1.1811e-02,true
v1,1024,1024,0.006938,15061.40,1.1811e-02,true
v2,1024,1024,0.007164,14585.11,1.1811e-02,true
v3,1024,1024,0.006037,17308.71,1.1811e-02,true
v4,1024,1024,0.005589,18695.02,1.1811e-02,true
