# provenance: env=venv:/usr/local/miniconda3/envs/py312 sha=4ecea50 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:39:14Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
# note: EXP-K08 向量化 A/B 的after臂（同机同环境，仅 BF16x8 载体不同）
shape,arm,T,H,O,latency_ms,tflops_or_tops,speedup_vs_bf16,max_rel_err,correctness_pass
T512_O4096,bf16_cublas,512,4096,4096,0.109445,157.0,1.000,0.000e+00,true
T512_O4096,w8a8_v0(quant_v0+dequant_v0),512,4096,4096,0.069484,247.3,1.575,1.055e-02,true
T512_O4096,w8a8_best(quant_v2+dequant_v1),512,4096,4096,0.057246,300.1,1.912,1.055e-02,true
T512_O4096,w8a8_best_weight_rowmajor,512,4096,4096,0.139832,122.9,0.783,1.055e-02,true
T512_O4096,step_quant_v2,512,4096,4096,0.007603,2259.5,14.394,nan,
T512_O4096,step_int8gemm_col,512,4096,4096,0.048435,354.7,2.260,nan,
T512_O4096,step_int8gemm_row,512,4096,4096,0.129546,132.6,0.845,nan,
T512_O4096,step_dequant_v1,512,4096,4096,0.007547,2276.4,14.502,nan,
T512_O12288,bf16_cublas,512,4096,12288,0.342856,150.3,1.000,0.000e+00,true
T512_O12288,w8a8_v0(quant_v0+dequant_v0),512,4096,12288,0.189763,271.6,1.807,1.055e-02,true
T512_O12288,w8a8_best(quant_v2+dequant_v1),512,4096,12288,0.176522,292.0,1.942,1.055e-02,true
T512_O12288,w8a8_best_weight_rowmajor,512,4096,12288,0.447380,115.2,0.766,1.055e-02,true
T512_O12288,step_quant_v2,512,4096,12288,0.007629,6755.9,44.942,nan,
T512_O12288,step_int8gemm_col,512,4096,12288,0.148004,348.2,2.317,nan,
T512_O12288,step_int8gemm_row,512,4096,12288,0.386109,133.5,0.888,nan,
T512_O12288,step_dequant_v1,512,4096,12288,0.011192,4604.9,30.633,nan,
T2048_O12288,bf16_cublas,2048,4096,12288,1.319015,156.3,1.000,0.000e+00,true
T2048_O12288,w8a8_v0(quant_v0+dequant_v0),2048,4096,12288,0.663695,310.6,1.987,1.136e-02,true
T2048_O12288,w8a8_best(quant_v2+dequant_v1),2048,4096,12288,0.608604,338.7,2.167,1.136e-02,true
T2048_O12288,w8a8_best_weight_rowmajor,2048,4096,12288,1.795942,114.8,0.734,1.136e-02,true
T2048_O12288,step_quant_v2,2048,4096,12288,0.010127,20356.6,130.243,nan,
T2048_O12288,step_int8gemm_col,2048,4096,12288,0.480778,428.8,2.744,nan,
T2048_O12288,step_int8gemm_row,2048,4096,12288,1.744630,118.2,0.756,nan,
T2048_O12288,step_dequant_v1,2048,4096,12288,0.162724,1266.9,8.106,nan,
T8192_O12288,bf16_cublas,8192,4096,12288,5.191639,158.8,1.000,0.000e+00,true
T8192_O12288,w8a8_v0(quant_v0+dequant_v0),8192,4096,12288,2.681917,307.5,1.936,1.351e-02,true
T8192_O12288,w8a8_best(quant_v2+dequant_v1),8192,4096,12288,2.468024,334.1,2.104,1.351e-02,true
T8192_O12288,w8a8_best_weight_rowmajor,8192,4096,12288,7.359383,112.1,0.705,1.351e-02,true
T8192_O12288,step_quant_v2,8192,4096,12288,0.107479,7672.5,48.304,nan,
T8192_O12288,step_int8gemm_col,8192,4096,12288,1.793249,459.9,2.895,nan,
T8192_O12288,step_int8gemm_row,8192,4096,12288,6.818160,120.9,0.761,nan,
T8192_O12288,step_dequant_v1,8192,4096,12288,0.651018,1266.7,7.975,nan,
decode_T1_O4096,int8gemm_lib,1,4096,4096,nan,nan,nan,nan,RuntimeError:self.size(0) needs to be greater than 16, but got 1
decode_T1_O4096_L2,bf16_cublas_gemv,1,4096,4096,0.038408,873.6,1.000,0.000e+00,true
decode_T1_O4096_L2,int8_gemv_v0,1,4096,4096,0.008797,1907.1,4.366,1.157e-02,true
decode_T1_O4096_L2,int8_gemv_v1_smem,1,4096,4096,0.008753,1916.7,4.388,1.157e-02,true
decode_T1_O12288,int8gemm_lib,1,4096,12288,nan,nan,nan,nan,RuntimeError:self.size(0) needs to be greater than 16, but got 1
decode_T1_O12288_HBM,bf16_cublas_gemv,1,4096,12288,0.107336,937.8,1.000,0.000e+00,true
decode_T1_O12288_L2,int8_gemv_v0,1,4096,12288,0.012353,4074.4,8.689,1.157e-02,true
decode_T1_O12288_L2,int8_gemv_v1_smem,1,4096,12288,0.013317,3779.6,8.060,1.157e-02,true
decode_T1_O32768,int8gemm_lib,1,4096,32768,nan,nan,nan,nan,RuntimeError:self.size(0) needs to be greater than 16, but got 1
decode_T1_O32768_HBM,bf16_cublas_gemv,1,4096,32768,0.282033,951.8,1.000,0.000e+00,true
decode_T1_O32768_HBM,int8_gemv_v0,1,4096,32768,0.142921,939.1,1.973,1.389e-02,true
decode_T1_O32768_HBM,int8_gemv_v1_smem,1,4096,32768,0.143224,937.1,1.969,1.389e-02,true
