# provenance: env=venv:/usr/local/miniconda3/envs/py312 sha=4ecea50 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:39:30Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
# note: EXP-K08 向量化 A/B 的after臂（同机同环境，仅 BF16x8 载体不同）
shape,arm,T,H,O,latency_ms,tflops_or_tops,speedup_vs_bf16,max_rel_err,correctness_pass
T512_O4096,bf16_cublas,512,4096,4096,0.109537,156.8,1.000,0.000e+00,true
T512_O4096,w8a8_v0(quant_v0+dequant_v0),512,4096,4096,0.069494,247.2,1.576,1.055e-02,true
T512_O4096,w8a8_best(quant_v2+dequant_v1),512,4096,4096,0.057211,300.3,1.915,1.055e-02,true
T512_O4096,w8a8_best_weight_rowmajor,512,4096,4096,0.140298,122.5,0.781,1.055e-02,true
T512_O4096,step_quant_v2,512,4096,4096,0.007322,2346.5,14.961,nan,
T512_O4096,step_int8gemm_col,512,4096,4096,0.048451,354.6,2.261,nan,
T512_O4096,step_int8gemm_row,512,4096,4096,0.129951,132.2,0.843,nan,
T512_O4096,step_dequant_v1,512,4096,4096,0.007552,2274.9,14.504,nan,
T512_O12288,bf16_cublas,512,4096,12288,0.341571,150.9,1.000,0.000e+00,true
T512_O12288,w8a8_v0(quant_v0+dequant_v0),512,4096,12288,0.189891,271.4,1.799,1.055e-02,true
T512_O12288,w8a8_best(quant_v2+dequant_v1),512,4096,12288,0.175048,294.4,1.951,1.055e-02,true
T512_O12288,w8a8_best_weight_rowmajor,512,4096,12288,0.442250,116.5,0.772,1.055e-02,true
T512_O12288,step_quant_v2,512,4096,12288,0.012851,4010.5,26.579,nan,
T512_O12288,step_int8gemm_col,512,4096,12288,0.148198,347.8,2.305,nan,
T512_O12288,step_int8gemm_row,512,4096,12288,0.386611,133.3,0.883,nan,
T512_O12288,step_dequant_v1,512,4096,12288,0.011187,4607.0,30.532,nan,
T2048_O12288,bf16_cublas,2048,4096,12288,1.321687,156.0,1.000,0.000e+00,true
T2048_O12288,w8a8_v0(quant_v0+dequant_v0),2048,4096,12288,0.661883,311.5,1.997,1.136e-02,true
T2048_O12288,w8a8_best(quant_v2+dequant_v1),2048,4096,12288,0.608809,338.6,2.171,1.136e-02,true
T2048_O12288,w8a8_best_weight_rowmajor,2048,4096,12288,1.817661,113.4,0.727,1.136e-02,true
T2048_O12288,step_quant_v2,2048,4096,12288,0.010363,19893.9,127.541,nan,
T2048_O12288,step_int8gemm_col,2048,4096,12288,0.480901,428.7,2.748,nan,
T2048_O12288,step_int8gemm_row,2048,4096,12288,1.735567,118.8,0.762,nan,
T2048_O12288,step_dequant_v1,2048,4096,12288,0.162683,1267.2,8.124,nan,
T8192_O12288,bf16_cublas,8192,4096,12288,5.217956,158.0,1.000,0.000e+00,true
T8192_O12288,w8a8_v0(quant_v0+dequant_v0),8192,4096,12288,2.677881,307.9,1.949,1.351e-02,true
T8192_O12288,w8a8_best(quant_v2+dequant_v1),8192,4096,12288,2.468823,334.0,2.114,1.351e-02,true
T8192_O12288,w8a8_best_weight_rowmajor,8192,4096,12288,7.327519,112.5,0.712,1.351e-02,true
T8192_O12288,step_quant_v2,8192,4096,12288,0.107663,7659.4,48.465,nan,
T8192_O12288,step_int8gemm_col,8192,4096,12288,1.823580,452.2,2.861,nan,
T8192_O12288,step_int8gemm_row,8192,4096,12288,6.795203,121.4,0.768,nan,
T8192_O12288,step_dequant_v1,8192,4096,12288,0.650158,1268.4,8.026,nan,
decode_T1_O4096,int8gemm_lib,1,4096,4096,nan,nan,nan,nan,RuntimeError:self.size(0) needs to be greater than 16, but got 1
decode_T1_O4096_L2,bf16_cublas_gemv,1,4096,4096,0.038382,874.2,1.000,0.000e+00,true
decode_T1_O4096_L2,int8_gemv_v0,1,4096,4096,0.008695,1929.6,4.414,1.157e-02,true
decode_T1_O4096_L2,int8_gemv_v1_smem,1,4096,4096,0.009091,1845.4,4.222,1.157e-02,true
decode_T1_O12288,int8gemm_lib,1,4096,12288,nan,nan,nan,nan,RuntimeError:self.size(0) needs to be greater than 16, but got 1
decode_T1_O12288_HBM,bf16_cublas_gemv,1,4096,12288,0.107340,937.8,1.000,0.000e+00,true
decode_T1_O12288_L2,int8_gemv_v0,1,4096,12288,0.012359,4072.6,8.685,1.157e-02,true
decode_T1_O12288_L2,int8_gemv_v1_smem,1,4096,12288,0.013312,3780.8,8.063,1.157e-02,true
decode_T1_O32768,int8gemm_lib,1,4096,32768,nan,nan,nan,nan,RuntimeError:self.size(0) needs to be greater than 16, but got 1
decode_T1_O32768_HBM,bf16_cublas_gemv,1,4096,32768,0.282040,951.8,1.000,0.000e+00,true
decode_T1_O32768_HBM,int8_gemv_v0,1,4096,32768,0.143075,938.1,1.971,1.389e-02,true
decode_T1_O32768_HBM,int8_gemv_v1_smem,1,4096,32768,0.143237,937.0,1.969,1.389e-02,true
