# provenance: env=venv:/usr/local/miniconda3/envs/py312 sha=4ecea50 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:35:33Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
# note: EXP-K08 向量化 A/B 的before臂（同机同环境，仅 BF16x8 载体不同）
regime,version,T,HQ,HK,D,latency_ms,eff_bw_GBps,pct_peak,speedup_vs_v0,max_rel_err,correctness_pass
decode,v0,1,32,8,128,0.019899,1.0,0.1,1.000,0.000e+00,true
decode,v1,1,32,8,128,0.011340,1.8,0.2,1.755,0.000e+00,true
decode,v2,1,32,8,128,0.008134,2.5,0.2,2.447,0.000e+00,true
decode,v3,1,32,8,128,0.008131,2.5,0.2,2.447,0.000e+00,true
decode,v4,1,32,8,128,0.008099,2.5,0.3,2.457,0.000e+00,true
decode,pytorch_eager,1,32,8,128,0.134948,0.2,0.0,0.147,0.000e+00,true
decode,torch_compile,1,32,8,128,0.084041,0.2,0.0,0.237,0.000e+00,true
decode,triton,1,32,8,128,0.038990,0.5,0.1,0.510,0.000e+00,true
decode64,v0,64,32,8,128,0.020172,65.0,6.4,1.000,7.092e-03,true
decode64,v1,64,32,8,128,0.011663,112.4,11.1,1.730,7.092e-03,true
decode64,v2,64,32,8,128,0.008319,157.6,15.6,2.425,7.092e-03,true
decode64,v3,64,32,8,128,0.008262,158.6,15.7,2.441,7.092e-03,true
decode64,v4,64,32,8,128,0.008178,160.3,15.9,2.467,7.092e-03,true
decode64,pytorch_eager,64,32,8,128,0.144506,9.1,0.9,0.140,0.000e+00,true
decode64,torch_compile,64,32,8,128,0.071222,18.4,1.8,0.283,7.092e-03,true
decode64,triton,64,32,8,128,0.035756,36.7,3.6,0.564,7.092e-03,true
prefill,v0,2048,32,8,128,0.057081,734.8,72.9,1.000,6.173e-03,true
prefill,v1,2048,32,8,128,0.020685,2027.7,201.2,2.760,6.173e-03,true
prefill,v2,2048,32,8,128,0.019975,2099.8,208.3,2.858,6.173e-03,true
prefill,v3,2048,32,8,128,0.014189,2956.0,293.3,4.023,6.173e-03,true
prefill,v4,2048,32,8,128,0.018206,2303.8,228.5,3.135,6.173e-03,true
prefill,pytorch_eager,2048,32,8,128,0.144503,290.3,28.8,0.395,0.000e+00,true
prefill,torch_compile,2048,32,8,128,0.073721,568.9,56.4,0.774,6.173e-03,true
prefill,triton,2048,32,8,128,0.035478,1182.2,117.3,1.609,6.173e-03,true
hbm,v0,32768,32,8,128,1.555183,431.5,42.8,1.000,5.618e-03,true
hbm,v1,32768,32,8,128,0.859716,780.6,77.4,1.809,5.618e-03,true
hbm,v2,32768,32,8,128,0.865998,774.9,76.9,1.796,5.618e-03,true
hbm,v3,32768,32,8,128,0.755712,888.0,88.1,2.058,5.618e-03,true
hbm,v4,32768,32,8,128,0.740113,906.7,90.0,2.101,5.618e-03,true
hbm,pytorch_eager,32768,32,8,128,3.774361,177.8,17.6,0.412,0.000e+00,true
hbm,torch_compile,32768,32,8,128,0.765269,876.9,87.0,2.032,5.618e-03,true
hbm,triton,32768,32,8,128,0.746667,898.8,89.2,2.083,5.618e-03,true
