# provenance: env=venv:/root/venvs/main sha=6417d42 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-26T08:26:59Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.2 torch=2.13.0+cu132
regime,version,T,HQ,HK,D,latency_ms,eff_bw_GBps,pct_peak,speedup_vs_v0,max_rel_err,correctness_pass
decode,v0,1,32,8,128,0.018162,1.1,0.1,1.000,0.000e+00,true
decode,v1,1,32,8,128,0.010296,2.0,0.2,1.764,0.000e+00,true
decode,v2,1,32,8,128,0.007168,2.9,0.3,2.534,0.000e+00,true
decode,v3,1,32,8,128,0.007200,2.8,0.3,2.522,0.000e+00,true
decode,v4,1,32,8,128,0.006993,2.9,0.3,2.597,0.000e+00,true
decode,pytorch_eager,1,32,8,128,0.137682,0.1,0.0,0.132,0.000e+00,true
decode,torch_compile,1,32,8,128,0.085651,0.2,0.0,0.212,0.000e+00,true
decode,triton,1,32,8,128,0.037186,0.6,0.1,0.488,0.000e+00,true
decode64,v0,64,32,8,128,0.020051,65.4,6.5,1.000,7.092e-03,true
decode64,v1,64,32,8,128,0.010451,125.4,12.4,1.919,7.092e-03,true
decode64,v2,64,32,8,128,0.007378,177.6,17.6,2.718,7.092e-03,true
decode64,v3,64,32,8,128,0.007456,175.8,17.4,2.689,7.092e-03,true
decode64,v4,64,32,8,128,0.007135,183.7,18.2,2.810,7.092e-03,true
decode64,pytorch_eager,64,32,8,128,0.145090,9.0,0.9,0.138,0.000e+00,true
decode64,torch_compile,64,32,8,128,0.077971,16.8,1.7,0.257,7.092e-03,true
decode64,triton,64,32,8,128,0.036766,35.7,3.5,0.545,7.092e-03,true
prefill,v0,2048,32,8,128,0.057272,732.3,72.7,1.000,6.173e-03,true
prefill,v1,2048,32,8,128,0.020705,2025.7,201.0,2.766,6.173e-03,true
prefill,v2,2048,32,8,128,0.020070,2089.8,207.3,2.854,6.173e-03,true
prefill,v3,2048,32,8,128,0.014169,2960.3,293.7,4.042,6.173e-03,true
prefill,v4,2048,32,8,128,0.018207,2303.7,228.5,3.146,6.173e-03,true
prefill,pytorch_eager,2048,32,8,128,0.144234,290.8,28.8,0.397,0.000e+00,true
prefill,torch_compile,2048,32,8,128,0.079674,526.4,52.2,0.719,6.173e-03,true
prefill,triton,2048,32,8,128,0.036035,1164.0,115.5,1.589,6.173e-03,true
hbm,v0,32768,32,8,128,1.561222,429.8,42.6,1.000,5.618e-03,true
hbm,v1,32768,32,8,128,0.862174,778.4,77.2,1.811,5.618e-03,true
hbm,v2,32768,32,8,128,0.872448,769.2,76.3,1.789,5.618e-03,true
hbm,v3,32768,32,8,128,0.756907,886.6,88.0,2.063,5.618e-03,true
hbm,v4,32768,32,8,128,0.740727,906.0,89.9,2.108,5.618e-03,true
hbm,pytorch_eager,32768,32,8,128,3.776341,177.7,17.6,0.413,0.000e+00,true
hbm,torch_compile,32768,32,8,128,0.764928,877.3,87.0,2.041,5.618e-03,true
hbm,triton,32768,32,8,128,0.746837,898.6,89.1,2.090,5.618e-03,true
