# provenance: env=venv:/usr/local/miniconda3/envs/py312 sha=4ecea50 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:38:10Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
# note: EXP-K08 向量化 A/B 的after臂（同机同环境，仅 BF16x8 载体不同）
regime,version,T,HQ,HK,D,latency_ms,eff_bw_GBps,pct_peak,speedup_vs_v0,max_rel_err,correctness_pass
decode,v0,1,32,8,128,0.019674,1.0,0.1,1.000,0.000e+00,true
decode,v1,1,32,8,128,0.011228,1.8,0.2,1.752,0.000e+00,true
decode,v2,1,32,8,128,0.008138,2.5,0.2,2.418,0.000e+00,true
decode,v3,1,32,8,128,0.008121,2.5,0.3,2.423,0.000e+00,true
decode,v4,1,32,8,128,0.007958,2.6,0.3,2.472,0.000e+00,true
decode,pytorch_eager,1,32,8,128,0.139398,0.1,0.0,0.141,0.000e+00,true
decode,torch_compile,1,32,8,128,0.083896,0.2,0.0,0.235,0.000e+00,true
decode,triton,1,32,8,128,0.037312,0.5,0.1,0.527,0.000e+00,true
decode64,v0,64,32,8,128,0.020974,62.5,6.2,1.000,7.092e-03,true
decode64,v1,64,32,8,128,0.011516,113.8,11.3,1.821,7.092e-03,true
decode64,v2,64,32,8,128,0.008359,156.8,15.6,2.509,7.092e-03,true
decode64,v3,64,32,8,128,0.008719,150.3,14.9,2.406,7.092e-03,true
decode64,v4,64,32,8,128,0.008177,160.3,15.9,2.565,7.092e-03,true
decode64,pytorch_eager,64,32,8,128,0.146028,9.0,0.9,0.144,0.000e+00,true
decode64,torch_compile,64,32,8,128,0.072628,18.0,1.8,0.289,7.092e-03,true
decode64,triton,64,32,8,128,0.037239,35.2,3.5,0.563,7.092e-03,true
prefill,v0,2048,32,8,128,0.057276,732.3,72.6,1.000,6.173e-03,true
prefill,v1,2048,32,8,128,0.020712,2025.0,200.9,2.765,6.173e-03,true
prefill,v2,2048,32,8,128,0.020070,2089.8,207.3,2.854,6.173e-03,true
prefill,v3,2048,32,8,128,0.012319,3404.8,337.8,4.649,6.173e-03,true
prefill,v4,2048,32,8,128,0.012250,3423.8,339.7,4.675,6.173e-03,true
prefill,pytorch_eager,2048,32,8,128,0.149559,280.4,27.8,0.383,0.000e+00,true
prefill,torch_compile,2048,32,8,128,0.074554,562.6,55.8,0.768,6.173e-03,true
prefill,triton,2048,32,8,128,0.036816,1139.3,113.0,1.556,6.173e-03,true
hbm,v0,32768,32,8,128,1.561668,429.7,42.6,1.000,5.618e-03,true
hbm,v1,32768,32,8,128,0.856508,783.5,77.7,1.823,5.618e-03,true
hbm,v2,32768,32,8,128,0.867571,773.5,76.7,1.800,5.618e-03,true
hbm,v3,32768,32,8,128,0.755985,887.7,88.1,2.066,5.618e-03,true
hbm,v4,32768,32,8,128,0.740249,906.6,89.9,2.110,5.618e-03,true
hbm,pytorch_eager,32768,32,8,128,3.775659,177.7,17.6,0.414,0.000e+00,true
hbm,torch_compile,32768,32,8,128,0.764621,877.7,87.1,2.042,5.618e-03,true
hbm,triton,32768,32,8,128,0.746155,899.4,89.2,2.093,5.618e-03,true
