# provenance: env=venv:/root/venvs/main sha=6417d42 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-26T08:27:12Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.2 torch=2.13.0+cu132
regime,version,T,HQ,HK,D,latency_ms,eff_bw_GBps,pct_peak,speedup_vs_v0,max_rel_err,correctness_pass
decode,v0,1,32,8,128,0.018200,1.1,0.1,1.000,0.000e+00,true
decode,v1,1,32,8,128,0.010282,2.0,0.2,1.770,0.000e+00,true
decode,v2,1,32,8,128,0.007304,2.8,0.3,2.492,0.000e+00,true
decode,v3,1,32,8,128,0.007200,2.8,0.3,2.528,0.000e+00,true
decode,v4,1,32,8,128,0.006905,3.0,0.3,2.636,0.000e+00,true
decode,pytorch_eager,1,32,8,128,0.140226,0.1,0.0,0.130,0.000e+00,true
decode,torch_compile,1,32,8,128,0.085051,0.2,0.0,0.214,0.000e+00,true
decode,triton,1,32,8,128,0.040227,0.5,0.1,0.452,0.000e+00,true
decode64,v0,64,32,8,128,0.018590,70.5,7.0,1.000,7.092e-03,true
decode64,v1,64,32,8,128,0.010496,124.9,12.4,1.771,7.092e-03,true
decode64,v2,64,32,8,128,0.007408,176.9,17.6,2.509,7.092e-03,true
decode64,v3,64,32,8,128,0.007353,178.3,17.7,2.528,7.092e-03,true
decode64,v4,64,32,8,128,0.007124,184.0,18.3,2.609,7.092e-03,true
decode64,pytorch_eager,64,32,8,128,0.155449,8.4,0.8,0.120,0.000e+00,true
decode64,torch_compile,64,32,8,128,0.078787,16.6,1.7,0.236,7.092e-03,true
decode64,triton,64,32,8,128,0.036847,35.6,3.5,0.505,7.092e-03,true
prefill,v0,2048,32,8,128,0.057143,734.0,72.8,1.000,6.173e-03,true
prefill,v1,2048,32,8,128,0.020640,2032.1,201.6,2.768,6.173e-03,true
prefill,v2,2048,32,8,128,0.019948,2102.7,208.6,2.865,6.173e-03,true
prefill,v3,2048,32,8,128,0.014152,2963.8,294.0,4.038,6.173e-03,true
prefill,v4,2048,32,8,128,0.018176,2307.6,228.9,3.144,6.173e-03,true
prefill,pytorch_eager,2048,32,8,128,0.154900,270.8,26.9,0.369,0.000e+00,true
prefill,torch_compile,2048,32,8,128,0.079090,530.3,52.6,0.722,6.173e-03,true
prefill,triton,2048,32,8,128,0.037151,1129.0,112.0,1.538,6.173e-03,true
hbm,v0,32768,32,8,128,1.555012,431.6,42.8,1.000,5.618e-03,true
hbm,v1,32768,32,8,128,0.858078,782.1,77.6,1.812,5.618e-03,true
hbm,v2,32768,32,8,128,0.866167,774.8,76.9,1.795,5.618e-03,true
hbm,v3,32768,32,8,128,0.755268,888.5,88.1,2.059,5.618e-03,true
hbm,v4,32768,32,8,128,0.740352,906.4,89.9,2.100,5.618e-03,true
hbm,pytorch_eager,32768,32,8,128,3.777024,177.7,17.6,0.412,0.000e+00,true
hbm,torch_compile,32768,32,8,128,0.764996,877.2,87.0,2.033,5.618e-03,true
hbm,triton,32768,32,8,128,0.746868,898.5,89.1,2.082,5.618e-03,true
