# provenance: env=venv:/usr/local/miniconda3/envs/py312 sha=4ecea50 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:38:32Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
# note: EXP-K08 向量化 A/B 的after臂（同机同环境，仅 BF16x8 载体不同）
regime,version,T,HQ,HK,D,latency_ms,eff_bw_GBps,pct_peak,speedup_vs_v0,max_rel_err,correctness_pass
decode,v0,1,32,8,128,0.019336,1.1,0.1,1.000,0.000e+00,true
decode,v1,1,32,8,128,0.011154,1.8,0.2,1.733,0.000e+00,true
decode,v2,1,32,8,128,0.007984,2.6,0.3,2.422,0.000e+00,true
decode,v3,1,32,8,128,0.007917,2.6,0.3,2.443,0.000e+00,true
decode,v4,1,32,8,128,0.007903,2.6,0.3,2.447,0.000e+00,true
decode,pytorch_eager,1,32,8,128,0.136034,0.2,0.0,0.142,0.000e+00,true
decode,torch_compile,1,32,8,128,0.082088,0.2,0.0,0.236,0.000e+00,true
decode,triton,1,32,8,128,0.036961,0.6,0.1,0.523,0.000e+00,true
decode64,v0,64,32,8,128,0.019625,66.8,6.6,1.000,7.092e-03,true
decode64,v1,64,32,8,128,0.011396,115.0,11.4,1.722,7.092e-03,true
decode64,v2,64,32,8,128,0.008186,160.1,15.9,2.397,7.092e-03,true
decode64,v3,64,32,8,128,0.008221,159.4,15.8,2.387,7.092e-03,true
decode64,v4,64,32,8,128,0.008094,161.9,16.1,2.425,7.092e-03,true
decode64,pytorch_eager,64,32,8,128,0.143824,9.1,0.9,0.136,0.000e+00,true
decode64,torch_compile,64,32,8,128,0.071632,18.3,1.8,0.274,7.092e-03,true
decode64,triton,64,32,8,128,0.036327,36.1,3.6,0.540,7.092e-03,true
prefill,v0,2048,32,8,128,0.057255,732.6,72.7,1.000,6.173e-03,true
prefill,v1,2048,32,8,128,0.020692,2027.1,201.1,2.767,6.173e-03,true
prefill,v2,2048,32,8,128,0.020040,2093.0,207.6,2.857,6.173e-03,true
prefill,v3,2048,32,8,128,0.012315,3405.8,337.9,4.649,6.173e-03,true
prefill,v4,2048,32,8,128,0.012244,3425.7,339.9,4.676,6.173e-03,true
prefill,pytorch_eager,2048,32,8,128,0.144691,289.9,28.8,0.396,0.000e+00,true
prefill,torch_compile,2048,32,8,128,0.073844,568.0,56.3,0.775,6.173e-03,true
prefill,triton,2048,32,8,128,0.037226,1126.7,111.8,1.538,6.173e-03,true
hbm,v0,32768,32,8,128,1.560269,430.1,42.7,1.000,5.618e-03,true
hbm,v1,32768,32,8,128,0.853367,786.4,78.0,1.828,5.618e-03,true
hbm,v2,32768,32,8,128,0.864288,776.5,77.0,1.805,5.618e-03,true
hbm,v3,32768,32,8,128,0.755644,888.1,88.1,2.065,5.618e-03,true
hbm,v4,32768,32,8,128,0.739703,907.2,90.0,2.109,5.618e-03,true
hbm,pytorch_eager,32768,32,8,128,3.775659,177.7,17.6,0.413,0.000e+00,true
hbm,torch_compile,32768,32,8,128,0.764826,877.4,87.0,2.040,5.618e-03,true
hbm,triton,32768,32,8,128,0.746394,899.1,89.2,2.090,5.618e-03,true
