# provenance: env=venv:/usr/local/miniconda3/envs/py312 sha=4ecea50 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:35:22Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
# note: EXP-K08 向量化 A/B 的before臂（同机同环境，仅 BF16x8 载体不同）
regime,version,T,HQ,HK,D,latency_ms,eff_bw_GBps,pct_peak,speedup_vs_v0,max_rel_err,correctness_pass
decode,v0,1,32,8,128,0.020341,1.0,0.1,1.000,0.000e+00,true
decode,v1,1,32,8,128,0.011425,1.8,0.2,1.780,0.000e+00,true
decode,v2,1,32,8,128,0.008208,2.5,0.2,2.478,0.000e+00,true
decode,v3,1,32,8,128,0.008185,2.5,0.2,2.485,0.000e+00,true
decode,v4,1,32,8,128,0.008111,2.5,0.3,2.508,0.000e+00,true
decode,pytorch_eager,1,32,8,128,0.143564,0.1,0.0,0.142,0.000e+00,true
decode,torch_compile,1,32,8,128,0.084677,0.2,0.0,0.240,0.000e+00,true
decode,triton,1,32,8,128,0.036571,0.6,0.1,0.556,0.000e+00,true
decode64,v0,64,32,8,128,0.020160,65.0,6.4,1.000,7.092e-03,true
decode64,v1,64,32,8,128,0.011631,112.7,11.2,1.733,7.092e-03,true
decode64,v2,64,32,8,128,0.008421,155.7,15.4,2.394,7.092e-03,true
decode64,v3,64,32,8,128,0.008407,155.9,15.5,2.398,7.092e-03,true
decode64,v4,64,32,8,128,0.008232,159.2,15.8,2.449,7.092e-03,true
decode64,pytorch_eager,64,32,8,128,0.150458,8.7,0.9,0.134,0.000e+00,true
decode64,torch_compile,64,32,8,128,0.072691,18.0,1.8,0.277,7.092e-03,true
decode64,triton,64,32,8,128,0.035581,36.8,3.7,0.567,7.092e-03,true
prefill,v0,2048,32,8,128,0.056815,738.2,73.2,1.000,6.173e-03,true
prefill,v1,2048,32,8,128,0.020572,2038.8,202.3,2.762,6.173e-03,true
prefill,v2,2048,32,8,128,0.019876,2110.3,209.4,2.858,6.173e-03,true
prefill,v3,2048,32,8,128,0.014155,2963.1,294.0,4.014,6.173e-03,true
prefill,v4,2048,32,8,128,0.018190,2305.9,228.8,3.123,6.173e-03,true
prefill,pytorch_eager,2048,32,8,128,0.146179,286.9,28.5,0.389,0.000e+00,true
prefill,torch_compile,2048,32,8,128,0.072657,577.3,57.3,0.782,6.173e-03,true
prefill,triton,2048,32,8,128,0.035857,1169.7,116.0,1.584,6.173e-03,true
hbm,v0,32768,32,8,128,1.554534,431.7,42.8,1.000,5.618e-03,true
hbm,v1,32768,32,8,128,0.856132,783.9,77.8,1.816,5.618e-03,true
hbm,v2,32768,32,8,128,0.866304,774.7,76.9,1.794,5.618e-03,true
hbm,v3,32768,32,8,128,0.757897,885.5,87.8,2.051,5.618e-03,true
hbm,v4,32768,32,8,128,0.739430,907.6,90.0,2.102,5.618e-03,true
hbm,pytorch_eager,32768,32,8,128,3.782178,177.4,17.6,0.411,0.000e+00,true
hbm,torch_compile,32768,32,8,128,0.764860,877.4,87.0,2.032,5.618e-03,true
hbm,triton,32768,32,8,128,0.745813,899.8,89.3,2.084,5.618e-03,true
