# provenance: env=venv:/usr/local/miniconda3/envs/py312 sha=4ecea50 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:38:43Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
# note: EXP-K08 向量化 A/B 的after臂（同机同环境，仅 BF16x8 载体不同）
regime,version,T,I,latency_ms,eff_bw_GBps,pct_peak,speedup_vs_v0,max_rel_err,correctness_pass
decode,v0,1,12288,0.010858,6.8,0.7,1.000,0.000e+00,true
decode,v1,1,12288,0.007556,9.8,1.0,1.437,3.984e-03,true
decode,v2,1,12288,0.007547,9.8,1.0,1.439,3.984e-03,true
decode,v3,1,12288,0.007065,10.4,1.0,1.537,3.984e-03,true
decode,pytorch_eager,1,12288,0.016400,4.5,0.4,0.662,0.000e+00,true
decode,torch_compile,1,12288,0.059188,1.2,0.1,0.183,3.984e-03,true
decode,triton,1,12288,0.018221,4.0,0.4,0.596,3.984e-03,true
l2,v0,256,12288,0.012582,1500.1,148.8,1.000,0.000e+00,true
l2,v1,256,12288,0.007858,2401.9,238.3,1.601,4.902e-03,true
l2,v2,256,12288,0.007896,2390.4,237.1,1.593,4.902e-03,true
l2,v3,256,12288,0.007314,2580.4,256.0,1.720,4.902e-03,true
l2,pytorch_eager,256,12288,0.018422,1024.6,101.6,0.683,0.000e+00,true
l2,torch_compile,256,12288,0.056239,335.6,33.3,0.224,4.902e-03,true
l2,triton,256,12288,0.019482,968.8,96.1,0.646,4.902e-03,true
prefill,v0,2048,12288,0.283156,533.3,52.9,1.000,0.000e+00,true
prefill,v1,2048,12288,0.168899,894.0,88.7,1.676,4.348e-03,true
prefill,v2,2048,12288,0.162447,929.5,92.2,1.743,4.348e-03,true
prefill,v3,2048,12288,0.162243,930.7,92.3,1.745,4.348e-03,true
prefill,pytorch_eager,2048,12288,0.254587,593.1,58.8,1.112,0.000e+00,true
prefill,torch_compile,2048,12288,0.162488,929.3,92.2,1.743,4.348e-03,true
prefill,triton,2048,12288,0.162196,930.9,92.4,1.746,4.348e-03,true
hbm,v0,8192,12288,1.116910,540.8,53.6,1.000,0.000e+00,true
hbm,v1,8192,12288,0.665344,907.8,90.1,1.679,3.597e-03,true
hbm,v2,8192,12288,0.658005,917.9,91.1,1.697,3.597e-03,true
hbm,v3,8192,12288,0.650411,928.6,92.1,1.717,3.597e-03,true
hbm,pytorch_eager,8192,12288,1.087369,555.5,55.1,1.027,0.000e+00,true
hbm,torch_compile,8192,12288,0.652612,925.5,91.8,1.711,3.597e-03,true
hbm,triton,8192,12288,0.651196,927.5,92.0,1.715,3.597e-03,true
