# provenance: env=venv:/root/venvs/main sha=6417d42 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-26T08:31:55Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.2 torch=2.13.0+cu132
regime,version,T,I,latency_ms,eff_bw_GBps,pct_peak,speedup_vs_v0,max_rel_err,correctness_pass
decode,v0,1,12288,0.009812,7.5,0.7,1.000,0.000e+00,true
decode,v1,1,12288,0.006687,11.0,1.1,1.467,3.984e-03,true
decode,v2,1,12288,0.006628,11.1,1.1,1.480,3.984e-03,true
decode,v3,1,12288,0.006097,12.1,1.2,1.609,3.984e-03,true
decode,pytorch_eager,1,12288,0.016860,4.4,0.4,0.582,0.000e+00,true
decode,torch_compile,1,12288,0.068560,1.1,0.1,0.143,3.984e-03,true
decode,triton,1,12288,0.018456,4.0,0.4,0.532,3.984e-03,true
l2,v0,256,12288,0.012507,1509.1,149.7,1.000,0.000e+00,true
l2,v1,256,12288,0.006850,2755.6,273.4,1.826,4.902e-03,true
l2,v2,256,12288,0.006843,2758.0,273.6,1.828,4.902e-03,true
l2,v3,256,12288,0.006360,2967.6,294.4,1.967,4.902e-03,true
l2,pytorch_eager,256,12288,0.018165,1039.1,103.1,0.689,0.000e+00,true
l2,torch_compile,256,12288,0.066410,284.2,28.2,0.188,4.902e-03,true
l2,triton,256,12288,0.019460,969.9,96.2,0.643,4.902e-03,true
prefill,v0,2048,12288,0.283095,533.4,52.9,1.000,0.000e+00,true
prefill,v1,2048,12288,0.168899,894.0,88.7,1.676,4.348e-03,true
prefill,v2,2048,12288,0.163118,925.7,91.8,1.736,4.348e-03,true
prefill,v3,2048,12288,0.163092,925.8,91.8,1.736,4.348e-03,true
prefill,pytorch_eager,2048,12288,0.254623,593.0,58.8,1.112,0.000e+00,true
prefill,torch_compile,2048,12288,0.162258,930.6,92.3,1.745,4.348e-03,true
prefill,triton,2048,12288,0.162248,930.6,92.3,1.745,4.348e-03,true
hbm,v0,8192,12288,1.116723,540.9,53.7,1.000,0.000e+00,true
hbm,v1,8192,12288,0.665361,907.7,90.1,1.678,3.597e-03,true
hbm,v2,8192,12288,0.657527,918.6,91.1,1.698,3.597e-03,true
hbm,v3,8192,12288,0.650957,927.8,92.0,1.716,3.597e-03,true
hbm,pytorch_eager,8192,12288,1.087027,555.6,55.1,1.027,0.000e+00,true
hbm,torch_compile,8192,12288,0.652407,925.8,91.8,1.712,3.597e-03,true
hbm,triton,8192,12288,0.650562,928.4,92.1,1.717,3.597e-03,true
