# provenance: env=venv:/usr/local/miniconda3/envs/py312 sha=4ecea50 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:36:17Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
# note: EXP-K08 向量化 A/B 的before臂（同机同环境，仅 BF16x8 载体不同）
regime,version,T,I,latency_ms,eff_bw_GBps,pct_peak,speedup_vs_v0,max_rel_err,correctness_pass
decode,v0,1,12288,0.010861,6.8,0.7,1.000,0.000e+00,true
decode,v1,1,12288,0.007647,9.6,1.0,1.420,3.984e-03,true
decode,v2,1,12288,0.007544,9.8,1.0,1.440,3.984e-03,true
decode,v3,1,12288,0.007092,10.4,1.0,1.531,3.984e-03,true
decode,pytorch_eager,1,12288,0.016453,4.5,0.4,0.660,0.000e+00,true
decode,torch_compile,1,12288,0.057461,1.3,0.1,0.189,3.984e-03,true
decode,triton,1,12288,0.018569,4.0,0.4,0.585,3.984e-03,true
l2,v0,256,12288,0.012548,1504.2,149.2,1.000,0.000e+00,true
l2,v1,256,12288,0.007900,2389.1,237.0,1.588,4.902e-03,true
l2,v2,256,12288,0.007848,2405.0,238.6,1.599,4.902e-03,true
l2,v3,256,12288,0.007296,2586.9,256.6,1.720,4.902e-03,true
l2,pytorch_eager,256,12288,0.017308,1090.5,108.2,0.725,0.000e+00,true
l2,torch_compile,256,12288,0.053017,356.0,35.3,0.237,4.902e-03,true
l2,triton,256,12288,0.017621,1071.1,106.3,0.712,4.902e-03,true
prefill,v0,2048,12288,0.283648,532.3,52.8,1.000,0.000e+00,true
prefill,v1,2048,12288,0.168909,893.9,88.7,1.679,4.348e-03,true
prefill,v2,2048,12288,0.163231,925.0,91.8,1.738,4.348e-03,true
prefill,v3,2048,12288,0.162381,929.9,92.3,1.747,4.348e-03,true
prefill,pytorch_eager,2048,12288,0.254587,593.1,58.8,1.114,0.000e+00,true
prefill,torch_compile,2048,12288,0.162401,929.8,92.2,1.747,4.348e-03,true
prefill,triton,2048,12288,0.162509,929.1,92.2,1.745,4.348e-03,true
hbm,v0,8192,12288,1.117474,540.5,53.6,1.000,0.000e+00,true
hbm,v1,8192,12288,0.665361,907.7,90.1,1.680,3.597e-03,true
hbm,v2,8192,12288,0.657357,918.8,91.2,1.700,3.597e-03,true
hbm,v3,8192,12288,0.651179,927.5,92.0,1.716,3.597e-03,true
hbm,pytorch_eager,8192,12288,1.087300,555.5,55.1,1.028,0.000e+00,true
hbm,torch_compile,8192,12288,0.652117,926.2,91.9,1.714,3.597e-03,true
hbm,triton,8192,12288,0.650735,928.2,92.1,1.717,3.597e-03,true
