# provenance: env=venv:/root/venvs/main sha=6417d42 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-26T08:32:08Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.2 torch=2.13.0+cu132
regime,version,T,I,latency_ms,eff_bw_GBps,pct_peak,speedup_vs_v0,max_rel_err,correctness_pass
decode,v0,1,12288,0.009653,7.6,0.8,1.000,0.000e+00,true
decode,v1,1,12288,0.010317,7.1,0.7,0.936,3.984e-03,true
decode,v2,1,12288,0.006622,11.1,1.1,1.458,3.984e-03,true
decode,v3,1,12288,0.006072,12.1,1.2,1.590,3.984e-03,true
decode,pytorch_eager,1,12288,0.016757,4.4,0.4,0.576,0.000e+00,true
decode,torch_compile,1,12288,0.070620,1.0,0.1,0.137,3.984e-03,true
decode,triton,1,12288,0.018998,3.9,0.4,0.508,3.984e-03,true
l2,v0,256,12288,0.012548,1504.2,149.2,1.000,0.000e+00,true
l2,v1,256,12288,0.006755,2794.0,277.2,1.857,4.902e-03,true
l2,v2,256,12288,0.006757,2793.2,277.1,1.857,4.902e-03,true
l2,v3,256,12288,0.006287,3001.9,297.8,1.996,4.902e-03,true
l2,pytorch_eager,256,12288,0.017474,1080.2,107.2,0.718,0.000e+00,true
l2,torch_compile,256,12288,0.067042,281.5,27.9,0.187,4.902e-03,true
l2,triton,256,12288,0.018398,1025.9,101.8,0.682,4.902e-03,true
prefill,v0,2048,12288,0.283069,533.4,52.9,1.000,0.000e+00,true
prefill,v1,2048,12288,0.168924,893.9,88.7,1.676,4.348e-03,true
prefill,v2,2048,12288,0.163348,924.4,91.7,1.733,4.348e-03,true
prefill,v3,2048,12288,0.162545,928.9,92.2,1.741,4.348e-03,true
prefill,pytorch_eager,2048,12288,0.255268,591.5,58.7,1.109,0.000e+00,true
prefill,torch_compile,2048,12288,0.162217,930.8,92.3,1.745,4.348e-03,true
prefill,triton,2048,12288,0.162207,930.9,92.3,1.745,4.348e-03,true
hbm,v0,8192,12288,1.116791,540.8,53.7,1.000,0.000e+00,true
hbm,v1,8192,12288,0.665325,907.8,90.1,1.679,3.597e-03,true
hbm,v2,8192,12288,0.657237,919.0,91.2,1.699,3.597e-03,true
hbm,v3,8192,12288,0.650991,927.8,92.0,1.716,3.597e-03,true
hbm,pytorch_eager,8192,12288,1.087266,555.5,55.1,1.027,0.000e+00,true
hbm,torch_compile,8192,12288,0.652646,925.4,91.8,1.711,3.597e-03,true
hbm,triton,8192,12288,0.650479,928.5,92.1,1.717,3.597e-03,true
