# provenance: env=venv:/root/venvs/main sha=6417d42 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-26T08:09:51Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.2 torch=2.13.0+cu132
regime,version,T,H,latency_ms,eff_bw_GBps,pct_peak,speedup_vs_v0,max_rel_err,correctness_pass
decode,v0,1,4096,0.010444,3.1,0.3,1.000,0.000e+00,true
decode,v1,1,4096,0.007372,4.4,0.4,1.417,0.000e+00,true
decode,v2,1,4096,0.007247,4.5,0.4,1.441,0.000e+00,true
decode,v3,1,4096,0.007281,4.5,0.4,1.434,0.000e+00,true
decode,v4,1,4096,0.007434,4.4,0.4,1.405,0.000e+00,true
decode,pytorch_eager,1,4096,0.096501,0.3,0.0,0.108,0.000e+00,true
decode,torch_compile,1,4096,0.077014,0.4,0.0,0.136,3.704e-03,true
decode,triton,1,4096,0.038008,0.9,0.1,0.275,7.407e-03,true
decode64,v0,64,4096,0.010629,197.3,19.6,1.000,0.000e+00,true
decode64,v1,64,4096,0.007565,277.2,27.5,1.405,2.793e-03,true
decode64,v2,64,4096,0.007427,282.4,28.0,1.431,2.793e-03,true
decode64,v3,64,4096,0.007481,280.3,27.8,1.421,2.793e-03,true
decode64,v4,64,4096,0.007447,281.6,27.9,1.427,2.793e-03,true
decode64,pytorch_eager,64,4096,0.106757,19.6,1.9,0.100,0.000e+00,true
decode64,torch_compile,64,4096,0.072814,28.8,2.9,0.146,5.587e-03,true
decode64,triton,64,4096,0.037601,55.8,5.5,0.283,5.587e-03,true
prefill,v0,2048,4096,0.053675,1250.3,124.0,1.000,0.000e+00,true
prefill,v1,2048,4096,0.042964,1562.0,155.0,1.249,4.545e-03,true
prefill,v2,2048,4096,0.028652,2342.2,232.4,1.873,4.545e-03,true
prefill,v3,2048,4096,0.022521,2979.8,295.6,2.383,4.545e-03,true
prefill,v4,2048,4096,0.025972,2583.9,256.3,2.067,4.545e-03,true
prefill,pytorch_eager,2048,4096,0.164540,407.9,40.5,0.326,0.000e+00,true
prefill,torch_compile,2048,4096,0.072008,932.0,92.5,0.745,4.545e-03,true
prefill,triton,2048,4096,0.039325,1706.5,169.3,1.365,4.545e-03,true
hbm,v0,32768,4096,1.845146,581.9,57.7,1.000,1.613e-03,true
hbm,v1,32768,4096,1.224294,877.0,87.0,1.507,6.452e-03,true
hbm,v2,32768,4096,1.166869,920.2,91.3,1.581,6.452e-03,true
hbm,v3,32768,4096,1.167256,919.9,91.3,1.581,6.452e-03,true
hbm,v4,32768,4096,1.168753,918.7,91.1,1.579,6.452e-03,true
hbm,pytorch_eager,32768,4096,6.092554,176.2,17.5,0.303,0.000e+00,true
hbm,torch_compile,32768,4096,1.170371,917.4,91.0,1.577,6.452e-03,true
hbm,triton,32768,4096,1.164349,922.2,91.5,1.585,6.452e-03,true
