# provenance: env=venv:/usr/local/miniconda3/envs/py312 sha=f95a0a8 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:02:54Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
# note: 对照臂——用 git HEAD 的 fused_norm_v3/v4.cu 在同一环境重建后测得
regime,version,T,H,latency_ms,eff_bw_GBps,pct_peak,speedup_vs_v0,max_rel_err,correctness_pass
decode,v0,1,4096,0.011472,2.9,0.3,1.000,0.000e+00,true
decode,v1,1,4096,0.008402,3.9,0.4,1.365,0.000e+00,true
decode,v2,1,4096,0.008356,3.9,0.4,1.373,0.000e+00,true
decode,v3,1,4096,0.008300,3.9,0.4,1.382,0.000e+00,true
decode,v4,1,4096,0.008330,3.9,0.4,1.377,0.000e+00,true
decode,pytorch_eager,1,4096,0.095025,0.3,0.0,0.121,0.000e+00,true
decode,torch_compile,1,4096,0.057887,0.6,0.1,0.198,3.704e-03,true
decode,triton,1,4096,0.036030,0.9,0.1,0.318,7.407e-03,true
decode64,v0,64,4096,0.011628,180.4,17.9,1.000,0.000e+00,true
decode64,v1,64,4096,0.008466,247.7,24.6,1.374,2.793e-03,true
decode64,v2,64,4096,0.012217,171.7,17.0,0.952,2.793e-03,true
decode64,v3,64,4096,0.008665,242.0,24.0,1.342,2.793e-03,true
decode64,v4,64,4096,0.008504,246.6,24.5,1.367,2.793e-03,true
decode64,pytorch_eager,64,4096,0.098993,21.2,2.1,0.117,0.000e+00,true
decode64,torch_compile,64,4096,0.056020,37.4,3.7,0.208,5.587e-03,true
decode64,triton,64,4096,0.035234,59.5,5.9,0.330,5.587e-03,true
prefill,v0,2048,4096,0.053521,1253.9,124.4,1.000,0.000e+00,true
prefill,v1,2048,4096,0.042772,1569.0,155.7,1.251,4.545e-03,true
prefill,v2,2048,4096,0.028529,2352.3,233.4,1.876,4.545e-03,true
prefill,v3,2048,4096,0.022460,2988.0,296.4,2.383,4.545e-03,true
prefill,v4,2048,4096,0.025917,2589.3,256.9,2.065,4.545e-03,true
prefill,pytorch_eager,2048,4096,0.163297,411.0,40.8,0.328,0.000e+00,true
prefill,torch_compile,2048,4096,0.055931,1199.9,119.0,0.957,4.545e-03,true
prefill,triton,2048,4096,0.037687,1780.7,176.7,1.420,4.545e-03,true
hbm,v0,32768,4096,1.882030,570.5,56.6,1.000,1.613e-03,true
hbm,v1,32768,4096,1.233183,870.7,86.4,1.526,6.452e-03,true
hbm,v2,32768,4096,1.170801,917.1,91.0,1.607,6.452e-03,true
hbm,v3,32768,4096,1.165988,920.9,91.4,1.614,6.452e-03,true
hbm,v4,32768,4096,1.166541,920.4,91.3,1.613,6.452e-03,true
hbm,pytorch_eager,32768,4096,6.092535,176.2,17.5,0.309,0.000e+00,true
hbm,torch_compile,32768,4096,1.166973,920.1,91.3,1.613,6.452e-03,true
hbm,triton,32768,4096,1.163940,922.5,91.5,1.617,6.452e-03,true
