# provenance: env=venv:/usr/local/miniconda3/envs/py312 sha=f95a0a8 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-28T20:07:15Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
# note: 本轮源码含未提交改动(BF16x8 加 float4 union),provenance 的 sha 指 HEAD 不含该改动;对应提交见 EXP-K08
regime,version,T,H,latency_ms,eff_bw_GBps,pct_peak,speedup_vs_v0,max_rel_err,correctness_pass
decode,v0,1,4096,0.011474,2.9,0.3,1.000,0.000e+00,true
decode,v1,1,4096,0.008263,4.0,0.4,1.389,0.000e+00,true
decode,v2,1,4096,0.008264,4.0,0.4,1.389,0.000e+00,true
decode,v3,1,4096,0.008265,4.0,0.4,1.388,0.000e+00,true
decode,v4,1,4096,0.008274,4.0,0.4,1.387,0.000e+00,true
decode,pytorch_eager,1,4096,0.099333,0.3,0.0,0.116,0.000e+00,true
decode,torch_compile,1,4096,0.060257,0.5,0.1,0.190,3.704e-03,true
decode,triton,1,4096,0.038953,0.8,0.1,0.295,7.407e-03,true
decode64,v0,64,4096,0.011603,180.7,17.9,1.000,0.000e+00,true
decode64,v1,64,4096,0.008530,245.9,24.4,1.360,2.793e-03,true
decode64,v2,64,4096,0.008365,250.7,24.9,1.387,2.793e-03,true
decode64,v3,64,4096,0.008462,247.8,24.6,1.371,2.793e-03,true
decode64,v4,64,4096,0.012751,164.5,16.3,0.910,2.793e-03,true
decode64,pytorch_eager,64,4096,0.110022,19.1,1.9,0.105,0.000e+00,true
decode64,torch_compile,64,4096,0.059474,35.3,3.5,0.195,5.587e-03,true
decode64,triton,64,4096,0.037409,56.1,5.6,0.310,5.587e-03,true
prefill,v0,2048,4096,0.053702,1249.7,124.0,1.000,0.000e+00,true
prefill,v1,2048,4096,0.042967,1561.9,154.9,1.250,4.545e-03,true
prefill,v2,2048,4096,0.028675,2340.3,232.2,1.873,4.545e-03,true
prefill,v3,2048,4096,0.018575,3612.8,358.4,2.891,4.545e-03,true
prefill,v4,2048,4096,0.018309,3665.3,363.6,2.933,4.545e-03,true
prefill,pytorch_eager,2048,4096,0.164222,408.6,40.5,0.327,0.000e+00,true
prefill,torch_compile,2048,4096,0.061710,1087.5,107.9,0.870,4.545e-03,true
prefill,triton,2048,4096,0.038581,1739.4,172.6,1.392,4.545e-03,true
hbm,v0,32768,4096,1.853276,579.4,57.5,1.000,1.613e-03,true
hbm,v1,32768,4096,1.232343,871.3,86.4,1.504,6.452e-03,true
hbm,v2,32768,4096,1.170965,917.0,91.0,1.583,6.452e-03,true
hbm,v3,32768,4096,1.165558,921.2,91.4,1.590,6.452e-03,true
hbm,v4,32768,4096,1.165742,921.1,91.4,1.590,6.452e-03,true
hbm,pytorch_eager,32768,4096,6.092475,176.2,17.5,0.304,0.000e+00,true
hbm,torch_compile,32768,4096,1.166498,920.5,91.3,1.589,6.452e-03,true
hbm,triton,32768,4096,1.164124,922.4,91.5,1.592,6.452e-03,true
