# provenance: env=venv:/root/venvs/main sha=6417d42 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-26T08:09:26Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.2 torch=2.13.0+cu132
regime,version,T,H,latency_ms,eff_bw_GBps,pct_peak,speedup_vs_v0,max_rel_err,correctness_pass
decode,v0,1,4096,0.010633,3.1,0.3,1.000,0.000e+00,true
decode,v1,1,4096,0.007446,4.4,0.4,1.428,0.000e+00,true
decode,v2,1,4096,0.007454,4.4,0.4,1.427,0.000e+00,true
decode,v3,1,4096,0.007572,4.3,0.4,1.404,0.000e+00,true
decode,v4,1,4096,0.007352,4.5,0.4,1.446,0.000e+00,true
decode,pytorch_eager,1,4096,0.094152,0.3,0.0,0.113,0.000e+00,true
decode,torch_compile,1,4096,0.076100,0.4,0.0,0.140,3.704e-03,true
decode,triton,1,4096,0.037958,0.9,0.1,0.280,7.407e-03,true
decode64,v0,64,4096,0.010613,197.6,19.6,1.000,0.000e+00,true
decode64,v1,64,4096,0.007670,273.4,27.1,1.384,2.793e-03,true
decode64,v2,64,4096,0.007582,276.6,27.4,1.400,2.793e-03,true
decode64,v3,64,4096,0.007516,279.0,27.7,1.412,2.793e-03,true
decode64,v4,64,4096,0.007561,277.4,27.5,1.404,2.793e-03,true
decode64,pytorch_eager,64,4096,0.097963,21.4,2.1,0.108,0.000e+00,true
decode64,torch_compile,64,4096,0.071298,29.4,2.9,0.149,5.587e-03,true
decode64,triton,64,4096,0.037338,56.2,5.6,0.284,5.587e-03,true
prefill,v0,2048,4096,0.053688,1250.0,124.0,1.000,0.000e+00,true
prefill,v1,2048,4096,0.042957,1562.2,155.0,1.250,4.545e-03,true
prefill,v2,2048,4096,0.028669,2340.8,232.2,1.873,4.545e-03,true
prefill,v3,2048,4096,0.022490,2983.9,296.0,2.387,4.545e-03,true
prefill,v4,2048,4096,0.025965,2584.6,256.4,2.068,4.545e-03,true
prefill,pytorch_eager,2048,4096,0.163420,410.7,40.7,0.329,0.000e+00,true
prefill,torch_compile,2048,4096,0.070052,958.0,95.0,0.766,4.545e-03,true
prefill,triton,2048,4096,0.038158,1758.7,174.5,1.407,4.545e-03,true
hbm,v0,32768,4096,1.844408,582.2,57.8,1.000,1.613e-03,true
hbm,v1,32768,4096,1.223558,877.6,87.1,1.507,6.452e-03,true
hbm,v2,32768,4096,1.166971,920.1,91.3,1.581,6.452e-03,true
hbm,v3,32768,4096,1.165719,921.1,91.4,1.582,6.452e-03,true
hbm,v4,32768,4096,1.168525,918.9,91.2,1.578,6.452e-03,true
hbm,pytorch_eager,32768,4096,6.092964,176.2,17.5,0.303,0.000e+00,true
hbm,torch_compile,32768,4096,1.170330,917.5,91.0,1.576,6.452e-03,true
hbm,triton,32768,4096,1.164268,922.2,91.5,1.584,6.452e-03,true
