# provenance: env=venv:/usr/local/miniconda3/envs/py312 sha=f95a0a8 cmd="BENCH_ITERS=0 python bench.py" date=2026-08-29T03:03:16Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.0 torch=2.11.0+cu130
# note: 对照臂——用 git HEAD 的 fused_norm_v3/v4.cu 在同一环境重建后测得
regime,version,T,H,latency_ms,eff_bw_GBps,pct_peak,speedup_vs_v0,max_rel_err,correctness_pass
decode,v0,1,4096,0.011641,2.8,0.3,1.000,0.000e+00,true
decode,v1,1,4096,0.008337,3.9,0.4,1.396,0.000e+00,true
decode,v2,1,4096,0.008396,3.9,0.4,1.386,0.000e+00,true
decode,v3,1,4096,0.008434,3.9,0.4,1.380,0.000e+00,true
decode,v4,1,4096,0.008435,3.9,0.4,1.380,0.000e+00,true
decode,pytorch_eager,1,4096,0.098989,0.3,0.0,0.118,0.000e+00,true
decode,torch_compile,1,4096,0.061273,0.5,0.1,0.190,3.704e-03,true
decode,triton,1,4096,0.040239,0.8,0.1,0.289,7.407e-03,true
decode64,v0,64,4096,0.011927,175.8,17.4,1.000,0.000e+00,true
decode64,v1,64,4096,0.012580,166.7,16.5,0.948,2.793e-03,true
decode64,v2,64,4096,0.008518,246.2,24.4,1.400,2.793e-03,true
decode64,v3,64,4096,0.008607,243.7,24.2,1.386,2.793e-03,true
decode64,v4,64,4096,0.008700,241.1,23.9,1.371,2.793e-03,true
decode64,pytorch_eager,64,4096,0.108338,19.4,1.9,0.110,0.000e+00,true
decode64,torch_compile,64,4096,0.058500,35.8,3.6,0.204,5.587e-03,true
decode64,triton,64,4096,0.038404,54.6,5.4,0.311,5.587e-03,true
prefill,v0,2048,4096,0.053695,1249.8,124.0,1.000,0.000e+00,true
prefill,v1,2048,4096,0.042988,1561.1,154.9,1.249,4.545e-03,true
prefill,v2,2048,4096,0.028672,2340.6,232.2,1.873,4.545e-03,true
prefill,v3,2048,4096,0.022511,2981.2,295.8,2.385,4.545e-03,true
prefill,v4,2048,4096,0.025958,2585.2,256.5,2.069,4.545e-03,true
prefill,pytorch_eager,2048,4096,0.164570,407.8,40.5,0.326,0.000e+00,true
prefill,torch_compile,2048,4096,0.060344,1112.1,110.3,0.890,4.545e-03,true
prefill,triton,2048,4096,0.037895,1770.9,175.7,1.417,4.545e-03,true
hbm,v0,32768,4096,1.911562,561.7,55.7,1.000,1.613e-03,true
hbm,v1,32768,4096,1.269821,845.6,83.9,1.505,6.452e-03,true
hbm,v2,32768,4096,1.177272,912.1,90.5,1.624,6.452e-03,true
hbm,v3,32768,4096,1.165885,921.0,91.4,1.640,6.452e-03,true
hbm,v4,32768,4096,1.167217,919.9,91.3,1.638,6.452e-03,true
hbm,pytorch_eager,32768,4096,6.094316,176.2,17.5,0.314,0.000e+00,true
hbm,torch_compile,32768,4096,1.167032,920.1,91.3,1.638,6.452e-03,true
hbm,triton,32768,4096,1.164902,921.7,91.4,1.641,6.452e-03,true
