# provenance: env=4090-container sha=33c6fff cmd="./build/reduce_bench (stability r1)" date=2026-08-25T21:39:44Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04
version,cpu_result,gpu_result,diff,latency_ms,speedup,correctness_pass
baseline,1.67772e+07,1.67772e+07,0,146.401962,1.00,true
v0,1.67772e+07,1.67772e+07,0,0.118582,1234.61,true
v1,1.67772e+07,1.67772e+07,0,0.118613,1234.28,true
v2,1.67772e+07,1.67772e+07,0,0.115942,1262.72,true
v3,1.67772e+07,1.67772e+07,0,0.077516,1888.66,true
v4,1.67772e+07,1.67772e+07,0,0.056811,2577.02,true
v5,1.67772e+07,1.67772e+07,0,0.056237,2603.28,true
v6,1.67772e+07,1.67772e+07,0,0.029862,4902.66,true
v7,1.67772e+07,1.67772e+07,0,0.029824,4908.87,true
cuBLAS,1.67772e+07,1.67772e+07,0,0.037092,3946.98,true
CUB,1.67772e+07,1.67772e+07,0,0.019940,7342.30,true
