# provenance: env=4090-main-container sha=9596b43 cmd="REDUCE_N=16777216 ./build/reduce_bench (calfix l2 r3)" date=2026-08-29T09:00:41Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04
version,cpu_result,gpu_result,diff,latency_ms,speedup,correctness_pass
baseline,1.67772e+07,1.67772e+07,0,145.926559,1.00,true
v0,1.67772e+07,1.67772e+07,0,0.119351,1222.67,true
v1,1.67772e+07,1.67772e+07,0,0.118562,1230.80,true
v2,1.67772e+07,1.67772e+07,0,0.116409,1253.57,true
v3,1.67772e+07,1.67772e+07,0,0.078163,1866.95,true
v4,1.67772e+07,1.67772e+07,0,0.056738,2571.94,true
v5,1.67772e+07,1.67772e+07,0,0.056279,2592.90,true
v6,1.67772e+07,1.67772e+07,0,0.022478,6491.85,true
v7,1.67772e+07,1.67772e+07,0,0.022619,6451.44,true
cuBLAS,1.67772e+07,1.67772e+07,0,0.037608,3880.23,true
CUB,1.67772e+07,1.67772e+07,0,0.019894,7335.05,true
