# provenance: env=4090-main-container sha=9596b43 cmd="REDUCE_N=16777216 ./build/reduce_bench (calfix l2 r2)" date=2026-08-29T09:00:25Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04
version,cpu_result,gpu_result,diff,latency_ms,speedup,correctness_pass
baseline,1.67772e+07,1.67772e+07,0,145.892471,1.00,true
v0,1.67772e+07,1.67772e+07,0,0.118647,1229.64,true
v1,1.67772e+07,1.67772e+07,0,0.117484,1241.81,true
v2,1.67772e+07,1.67772e+07,0,0.115813,1259.73,true
v3,1.67772e+07,1.67772e+07,0,0.077149,1891.05,true
v4,1.67772e+07,1.67772e+07,0,0.056117,2599.80,true
v5,1.67772e+07,1.67772e+07,0,0.056305,2591.11,true
v6,1.67772e+07,1.67772e+07,0,0.022483,6488.95,true
v7,1.67772e+07,1.67772e+07,0,0.022525,6476.88,true
cuBLAS,1.67772e+07,1.67772e+07,0,0.036871,3956.83,true
CUB,1.67772e+07,1.67772e+07,0,0.019617,7436.93,true
