# provenance: env=4090-container sha=33c6fff cmd="./build/reduce_bench (stability r2)" date=2026-08-25T21:40:00Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04
version,cpu_result,gpu_result,diff,latency_ms,speedup,correctness_pass
baseline,1.67772e+07,1.67772e+07,0,146.415405,1.00,true
v0,1.67772e+07,1.67772e+07,0,0.119980,1220.34,true
v1,1.67772e+07,1.67772e+07,0,0.119120,1229.15,true
v2,1.67772e+07,1.67772e+07,0,0.116714,1254.48,true
v3,1.67772e+07,1.67772e+07,0,0.079055,1852.08,true
v4,1.67772e+07,1.67772e+07,0,0.056595,2587.06,true
v5,1.67772e+07,1.67772e+07,0,0.056513,2590.84,true
v6,1.67772e+07,1.67772e+07,0,0.029705,4928.99,true
v7,1.67772e+07,1.67772e+07,0,0.029798,4913.59,true
cuBLAS,1.67772e+07,1.67772e+07,0,0.037209,3934.98,true
CUB,1.67772e+07,1.67772e+07,0,0.019787,7399.73,true
