# provenance: env=4090-container sha=unknown cmd="fa2_bench" date=2026-08-29T19:55:22Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.3
version,B,Hq,Hkv,S,D,causal,latency_ms,tflops,max_abs_err_vs_ref,correctness_pass
v0_warp_row,1,32,8,512,128,1,0.4165,5.2,2.4e-04,true
v1_smem_tile,1,32,8,512,128,1,0.4801,4.5,2.4e-04,true
v2_wmma,1,32,8,512,128,1,0.1716,12.5,4.9e-04,true
v3_8warp,1,32,8,512,128,1,0.1288,16.7,4.9e-04,true
v4_overlap,1,32,8,512,128,1,0.1203,17.9,4.9e-04,true
v5_mmaPTX,1,32,8,512,128,1,0.1216,17.7,4.9e-04,true
v0_warp_row,1,32,8,1024,128,1,1.5974,5.4,1.2e-04,true
v1_smem_tile,1,32,8,1024,128,1,1.6009,5.4,1.2e-04,true
v2_wmma,1,32,8,1024,128,1,0.4582,18.7,4.9e-04,true
v3_8warp,1,32,8,1024,128,1,0.3435,25.0,4.9e-04,true
v4_overlap,1,32,8,1024,128,1,0.3213,26.7,4.9e-04,true
v5_mmaPTX,1,32,8,1024,128,1,0.3216,26.7,4.9e-04,true
v0_warp_row,1,32,8,2048,128,1,6.2035,5.5,1.2e-04,true
v1_smem_tile,1,32,8,2048,128,1,6.2909,5.5,1.2e-04,true
v2_wmma,1,32,8,2048,128,1,1.5326,22.4,4.9e-04,true
v3_8warp,1,32,8,2048,128,1,1.1517,29.8,4.9e-04,true
v4_overlap,1,32,8,2048,128,1,1.0809,31.8,4.9e-04,true
v5_mmaPTX,1,32,8,2048,128,1,1.0808,31.8,4.9e-04,true
v0_warp_row,1,32,8,4096,128,1,27.7027,5.0,2.4e-04,true
v1_smem_tile,1,32,8,4096,128,1,25.0151,5.5,2.4e-04,true
v2_wmma,1,32,8,4096,128,1,5.6050,24.5,4.9e-04,true
v3_8warp,1,32,8,4096,128,1,4.1999,32.7,4.9e-04,true
v4_overlap,1,32,8,4096,128,1,3.9231,35.0,4.9e-04,true
v5_mmaPTX,1,32,8,4096,128,1,3.9150,35.1,4.9e-04,true
