# provenance: env=4090-container sha=unknown cmd="fa2_bench" date=2026-08-29T19:55:52Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04 cuda=13.3
version,B,Hq,Hkv,S,D,causal,latency_ms,tflops,max_abs_err_vs_ref,correctness_pass
v0_warp_row,1,32,8,512,128,1,0.4306,5.0,2.4e-04,true
v1_smem_tile,1,32,8,512,128,1,0.4801,4.5,2.4e-04,true
v2_wmma,1,32,8,512,128,1,0.1538,14.0,4.9e-04,true
v3_8warp,1,32,8,512,128,1,0.1156,18.6,4.9e-04,true
v4_overlap,1,32,8,512,128,1,0.1078,19.9,4.9e-04,true
v5_mmaPTX,1,32,8,512,128,1,0.1090,19.7,4.9e-04,true
v0_warp_row,1,32,8,1024,128,1,1.5845,5.4,1.2e-04,true
v1_smem_tile,1,32,8,1024,128,1,1.6184,5.3,1.2e-04,true
v2_wmma,1,32,8,1024,128,1,0.4605,18.7,4.9e-04,true
v3_8warp,1,32,8,1024,128,1,0.3464,24.8,4.9e-04,true
v4_overlap,1,32,8,1024,128,1,0.3249,26.4,4.9e-04,true
v5_mmaPTX,1,32,8,1024,128,1,0.3236,26.5,4.9e-04,true
v0_warp_row,1,32,8,2048,128,1,6.2429,5.5,1.2e-04,true
v1_smem_tile,1,32,8,2048,128,1,6.3067,5.4,1.2e-04,true
v2_wmma,1,32,8,2048,128,1,1.5419,22.3,4.9e-04,true
v3_8warp,1,32,8,2048,128,1,1.1579,29.7,4.9e-04,true
v4_overlap,1,32,8,2048,128,1,1.0864,31.6,4.9e-04,true
v5_mmaPTX,1,32,8,2048,128,1,1.0864,31.6,4.9e-04,true
v0_warp_row,1,32,8,4096,128,1,27.6787,5.0,2.4e-04,true
v1_smem_tile,1,32,8,4096,128,1,25.1786,5.5,2.4e-04,true
v2_wmma,1,32,8,4096,128,1,5.6341,24.4,4.9e-04,true
v3_8warp,1,32,8,4096,128,1,4.2226,32.5,4.9e-04,true
v4_overlap,1,32,8,4096,128,1,3.9440,34.8,4.9e-04,true
v5_mmaPTX,1,32,8,4096,128,1,3.9358,34.9,4.9e-04,true
