# provenance: env=4090-container sha=bfa04ca cmd="fa2_bench" date=2026-08-24T15:43:36Z gpu="NVIDIA GeForce RTX 4090" driver=13.3
version,B,Hq,Hkv,S,D,causal,latency_ms,tflops,max_abs_err_vs_ref,correctness_pass
v0_warp_row,1,32,8,512,128,1,0.4169,5.2,2.4e-04,true
v1_smem_tile,1,32,8,512,128,1,0.4798,4.5,2.4e-04,true
v2_wmma,1,32,8,512,128,1,0.1714,12.5,4.9e-04,true
v3_8warp,1,32,8,512,128,1,0.1220,17.6,4.9e-04,true
v4_overlap,1,32,8,512,128,1,0.1071,20.1,4.9e-04,true
v0_warp_row,1,32,8,1024,128,1,1.5924,5.4,1.2e-04,true
v1_smem_tile,1,32,8,1024,128,1,1.6024,5.4,1.2e-04,true
v2_wmma,1,32,8,1024,128,1,0.4572,18.8,4.9e-04,true
v3_8warp,1,32,8,1024,128,1,0.3441,25.0,4.9e-04,true
v4_overlap,1,32,8,1024,128,1,0.3213,26.7,4.9e-04,true
v0_warp_row,1,32,8,2048,128,1,6.2023,5.5,1.2e-04,true
v1_smem_tile,1,32,8,2048,128,1,6.2874,5.5,1.2e-04,true
v2_wmma,1,32,8,2048,128,1,1.5314,22.4,4.9e-04,true
v3_8warp,1,32,8,2048,128,1,1.1526,29.8,4.9e-04,true
v4_overlap,1,32,8,2048,128,1,1.0814,31.8,4.9e-04,true
v0_warp_row,1,32,8,4096,128,1,27.8234,4.9,2.4e-04,true
v1_smem_tile,1,32,8,4096,128,1,25.0363,5.5,2.4e-04,true
v2_wmma,1,32,8,4096,128,1,5.6246,24.4,4.9e-04,true
v3_8warp,1,32,8,4096,128,1,4.2198,32.6,4.9e-04,true
v4_overlap,1,32,8,4096,128,1,3.9404,34.9,4.9e-04,true
