# provenance: env=4090-container sha=33c6fff cmd="./build/softmax_bench (stability r2)" date=2026-08-25T21:38:51Z gpu="NVIDIA GeForce RTX 4090" driver=610.57.04
version,rows,cols,latency_ms,speedup_vs_v0,max_diff,correctness_pass
v0,1024,1024,0.009339,1.00,6.9849e-09,true
v1,1024,1024,0.009398,0.99,6.9849e-09,true
v2,1024,1024,0.009297,1.00,6.9849e-09,true
v3,1024,1024,0.008873,1.05,6.9849e-09,true
v4,1024,1024,0.007879,1.19,6.9849e-09,true
v4.2,1024,1024,0.010118,0.92,6.9849e-09,true
handwritten_ref,1024,1024,0.010054,0.93,6.9849e-09,true
cudnn,1024,1024,0.008272,1.13,6.9849e-09,true
v4_mis,1024,1500,0.009860,1.00,5.1223e-09,true
v4.3_mis,1024,1500,0.010094,0.98,5.1223e-09,true
v4.4_mis,1024,1500,0.010595,0.93,5.1223e-09,true
handwritten_ref_mis,1024,1500,0.012648,0.78,5.3551e-09,true
cudnn_mis,1024,1500,0.009002,1.10,5.1223e-09,true
